,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData
9706,Кофе с собой,832187523,кафе,Северо-Восточный административный округ,Алексеевский район,"город Москва, 3-я Мытищинская улица, дом 16, строение 37",0,37.6486351140709,55.806642255598206,"{type=Point, coordinates=[37.6486351140709, 55.80664225559821]}"
9717,Южный дворик,832187543,кафе,Юго-Восточный административный округ,Южнопортовый район,"город Москва, 7-я Кожуховская улица, дом 13/4",40,37.672905991119116,55.70718479437302,"{type=Point, coordinates=[37.67290599111912, 55.70718479437302]}"
9718,ВеАнжи,832187545,кафе,Восточный административный округ,район Новокосино,"город Москва, Суздальская улица, дом 18Г",8,37.85037695807671,55.74172349225852,"{type=Point, coordinates=[37.85037695807671, 55.741723492258515]}"
9719,Пицца Ресторантс,832187549,кафе,Юго-Восточный административный округ,Южнопортовый район,"город Москва, улица Трофимова, дом 32, корпус 1, строение 2",30,37.68469168488056,55.70260044338589,"{type=Point, coordinates=[37.68469168488056, 55.70260044338589]}"
9721,Вьеткафе,832187552,кафе,Юго-Западный административный округ,Академический район,"город Москва, улица Кржижановского, владение 22, строение 1",48,37.574305107465975,55.677680597035646,"{type=Point, coordinates=[37.574305107465975, 55.67768059703565]}"
9725,Французская пекарня,832187559,кафе,Юго-Западный административный округ,район Коньково,"город Москва, улица Миклухо-Маклая, дом 47А",8,37.52466301848364,55.643621509629135,"{type=Point, coordinates=[37.52466301848364, 55.643621509629135]}"
9726,Кофейня,832187560,кафе,Центральный административный округ,район Якиманка,"город Москва, Берсеневская набережная, дом 6, строение 3",12,37.6092602379144,55.74060657524243,"{type=Point, coordinates=[37.6092602379144, 55.74060657524243]}"
9728,Silver Panda,832187562,кафе,Центральный административный округ,район Якиманка,"город Москва, Берсеневский переулок, дом 2, строение 1",25,37.60986736497456,55.7408088772308,"{type=Point, coordinates=[37.60986736497456, 55.7408088772308]}"
9737,Кафе Мороженое Гриль,832187580,кафе,Северо-Западный административный округ,район Митино,"город Москва, Дубравная улица, дом 34/29",0,37.35807866218839,55.84614918078482,"{type=Point, coordinates=[37.35807866218839, 55.84614918078482]}"
9741,Кофейня 8 дробь 4,832187584,кафе,Северо-Западный административный округ,район Строгино,"город Москва, улица Твардовского, дом 8, корпус 4",12,37.39064928231495,55.793185470029606,"{type=Point, coordinates=[37.39064928231496, 55.79318547002961]}"
9742,Суши Весла,832187586,кафе,Северо-Западный административный округ,район Южное Тушино,"город Москва, Сходненская улица, дом 56",20,37.44436361083027,55.850426099078156,"{type=Point, coordinates=[37.44436361083027, 55.850426099078156]}"
9745,"Franklins Roll&Burger,Yamkee",832187590,кафе,Северо-Западный административный округ,район Южное Тушино,"город Москва, Сходненская улица, дом 56",20,37.44436361083027,55.850426099078156,"{type=Point, coordinates=[37.44436361083027, 55.850426099078156]}"
9747,Веранда,832187595,кафе,Северный административный округ,Головинский район,"город Москва, Ленинградское шоссе, дом 45Б, строение 2",50,37.47522533189283,55.84453634752841,"{type=Point, coordinates=[37.47522533189283, 55.84453634752841]}"
