,Unnamed: 0,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData,SeatClass
2867,9697,Комбинат питаная ВАГШ,832187511,столовая,Западный административный округ,район Тропарёво-Никулино,"город Москва, проспект Вернадского, дом 100, корпус ЗОНА, строение С-1",172,37.472772,55.649538,"{type=Point, coordinates=[37.472772, 55.649538]}",Большой
2868,9708,Буфет при музыкальной школе,832187529,столовая,Северо-Восточный административный округ,район Лианозово,"город Москва, Абрамцевская улица, дом 8Б",32,37.57636134688377,55.894816516880596,"{type=Point, coordinates=[37.576361346883765, 55.894816516880596]}",Маленький
2869,9716,Пицца Паоло,832187542,столовая,Юго-Восточный административный округ,район Лефортово,"город Москва, Волочаевская улица, дом 12А, строение 1",0,37.681977411262906,55.75596511004918,"{type=Point, coordinates=[37.68197741126291, 55.75596511004918]}",Маленький
2870,9723,Метеор,832187555,столовая,Юго-Западный административный округ,район Южное Бутово,"город Москва, Чечёрский проезд, дом 23",12,37.529718025599436,55.53064054739821,"{type=Point, coordinates=[37.52971802559944, 55.5306405473982]}",Маленький
2871,9730,КОМБИНАТ ПИТАНИЯ МПГУ,832187564,столовая,Западный административный округ,район Тропарёво-Никулино,"город Москва, проспект Вернадского, дом 88",200,37.475870999999906,55.6588,"{type=Point, coordinates=[37.4758709999999, 55.6588]}",Большой
2872,9771,Столовая «Cantina City»,832187638,столовая,Южный административный округ,район Чертаново Северное,"город Москва, микрорайон Северное Чертаново, дом 1А, корпус 1",88,37.59777346468658,55.63736059473188,"{type=Point, coordinates=[37.59777346468658, 55.63736059473188]}",Средний
2873,9781,Предприятие быстрого питания,832187651,столовая,Южный административный округ,Даниловский район,"город Москва, Холодильный переулок, дом 2",0,37.62427723611293,55.70967111897428,"{type=Point, coordinates=[37.62427723611293, 55.70967111897427]}",Маленький
2874,9790,Кондитерская Марта,832187668,столовая,Новомосковский административный округ,поселение Московский,"город Москва, город Московский, Радужная улица, дом 8",10,37.36995986901975,55.592246201125185,"{type=Point, coordinates=[37.36995986901975, 55.592246201125185]}",Маленький
2875,9791,Столовая,832187670,столовая,Троицкий административный округ,поселение Щаповское,"город Москва, поселение Щаповское, посёлок Щапово, дом 21",108,37.411291999999996,55.418278,"{type=Point, coordinates=[37.411292, 55.418278]}",Средний
2876,9795,Любава,832187675,столовая,Новомосковский административный округ,поселение Московский,"город Москва, город Московский, Московская улица, дом 2",12,37.36719496463125,55.592152954279726,"{type=Point, coordinates=[37.367194964631246, 55.592152954279726]}",Маленький
2877,9800,Столовая,832187684,столовая,Троицкий административный округ,поселение Щаповское,"город Москва, поселение Щаповское, посёлок Курилово, Школьная улица, дом 3",96,37.37565,55.371825,"{type=Point, coordinates=[37.37565, 55.371825]}",Средний
2878,9821,Сеть магазинов «Суши Wok»,832187717,столовая,Троицкий административный округ,поселение Троицк,"город Москва, город Троицк, Нагорная улица, дом 10",8,37.29897663375185,55.492472518677204,"{type=Point, coordinates=[37.29897663375183, 55.492472518677204]}",Маленький
2879,9856,Бургер Кинг,832198579,столовая,Западный административный округ,район Проспект Вернадского,"город Москва, улица Лобачевского, дом 19",20,37.482248914231455,55.678008757392185,"{type=Point, coordinates=[37.48224891423146, 55.67800875739219]}",Маленький
2880,9862,Столовая «Ешка»,861065531,столовая,Южный административный округ,Даниловский район,"город Москва, Павелецкая набережная, дом 2, строение 1",150,37.64605609536186,55.71565876036593,"{type=Point, coordinates=[37.646056095361864, 55.71565876036593]}",Большой
